,filtered_wo_names,count
0,levin,927
1,said,841
2,one,703
3,vronsky,535
4,well,502
5,anna,494
6,come,449
7,know,415
8,alexandrovitch,415
9,yes,410
10,kitty,404
11,alexey,384
12,go,375
13,arkadyevitch,375
14,see,375
15,time,368
16,face,353
17,man,351
18,life,341
19,eyes,332
20,went,331
21,say,326
22,stepan,317
23,nothing,317
24,room,316
25,thought,308
26,wife,306
27,felt,306
28,good,306
29,something,287
30,love,281
31,like,279
32,knew,268
33,came,262
34,little,259
35,away,258
36,old,255
37,first,253
38,people,251
39,brother,251
40,saw,250
41,long,247
42,going,246
43,without,243
44,husband,238
45,position,236
46,never,234
47,everything,233
48,made,233
49,day,226
50,still,225
51,back,225
52,way,224
53,hand,220
54,must,214
55,feeling,211
56,asked,210
57,though,206
58,new,205
59,ivanovitch,202
60,princess,202
61,think,202
62,look,199
63,smile,197
64,looked,193
65,two,192
66,always,192
67,understand,185
68,work,184
69,conversation,181
70,head,181
71,even,180
72,much,180
73,seemed,179
74,words,179
75,get,179
76,sergey,176
77,children,176
78,got,172
79,right,171
80,mother,170
81,anything,168
82,put,167
83,home,167
84,heard,165
85,heart,165
86,tell,163
87,began,162
88,thing,161
89,round,160
90,question,160
91,house,159
92,dolly,158
93,told,155
94,looking,150
95,want,149
96,make,148
97,every,148
98,moment,146
99,another,145
100,woman,144
101,take,142
102,whole,142
103,expression,140
104,us,140
105,alexandrovna,140
106,table,139
107,took,139
108,last,137
109,done,136
110,better,136
111,moscow,134
112,left,134
113,great,132
114,might,132
115,men,128
116,carriage,128
117,quite,127
118,mind,125
119,hands,123
120,turned,122
121,talk,122
122,young,121
123,let,121
124,shall,121
125,place,121
126,door,120
127,talking,120
128,alone,119
129,darya,117
130,world,116
131,seen,114
132,three,114
133,give,114
134,things,113
135,side,112
136,dinner,110
137,son,108
138,already,107
139,wanted,107
140,brought,106
141,coming,105
142,glad,104
143,evening,104
144,doctor,104
145,child,103
146,prince,102
147,women,102
148,petersburg,102
149,voice,101
150,god,101
151,tried,100
152,gone,100
153,country,99
154,varenka,98
155,towards,98
156,part,98
157,thinking,98
158,simply,97
159,together,95
160,days,94
161,countess,94
162,speak,93
163,peasants,93
164,ever,93
165,possible,92
166,find,92
167,help,92
168,suddenly,92
169,believe,92
170,met,91
171,answer,91
172,taken,91
173,happy,91
174,everyone,90
175,saying,89
176,letter,89
177,course,89
178,society,89
179,father,88
180,instant,88
181,word,88
182,matter,87
183,getting,86
184,point,86
185,horses,86
186,light,85
187,sviazhsky,85
188,happiness,84
189,soul,84
190,liked,83
191,family,83
192,stood,83
193,morning,83
194,anyone,82
195,may,81
196,peasant,81
197,oblonsky,81
198,yet,81
199,won,81
200,gave,81
201,soon,79
202,relations,79
203,steps,79
204,friend,78
205,standing,78
206,madame,78
207,ready,77
208,subject,77
209,girl,77
210,read,77
211,seryozha,77
212,really,77
213,ask,77
214,sister,77
215,walked,77
216,set,76
217,fact,76
218,sitting,76
219,end,76
220,feel,76
221,impossible,76
222,white,75
223,passed,75
224,found,75
225,drawing,74
226,ivanovna,74
227,sat,74
228,smiled,73
229,almost,72
230,money,71
231,interest,71
232,death,71
233,night,71
234,meeting,71
235,care,71
236,strange,71
237,law,71
238,living,71
239,today,70
240,since,70
241,seeing,70
242,betsy,70
243,sense,69
244,used,69
245,married,69
246,half,69
247,called,69
248,lidia,68
249,next,68
